iter	Passed	Remaining
985	10815	153
986	10819	142
987	10824	131
988	10829	120
989	10833	109
990	10840	98
991	10845	87
992	10849	76
993	10853	65
994	10858	54
995	10862	43
996	10867	32
997	10870	21
998	10874	10
999	10878	0
